year_month,females,males,total
2022-03,0,0,0
2022-04,12560,5120,17680
2022-05,8230,3470,11700
2022-06,2700,1250,3950
2022-07,1745,835,2580
2022-08,1275,775,2055
2022-09,840,555,1395
2022-10,755,510,1265
2022-11,745,450,1195
2022-12,640,370,1010
2023-01,530,370,900
2023-02,370,250,625
2023-03,560,285,845
2023-04,880,330,1210
2023-05,570,100,670
2023-06,1555,310,1865
2023-07,890,380,1265
2023-08,520,285,805
2023-09,420,290,710
2023-10,400,280,680
2023-11,280,200,480
2023-12,220,135,350
2024-01,255,225,485
2024-02,230,170,400
2024-03,510,220,740
2024-04,1590,320,1910
2024-05,1955,340,2295
2024-06,1110,310,1420
2024-07,960,350,1305
2024-08,460,230,690
2024-09,390,220,610
2024-10,380,260,640
2024-11,310,230,540
2024-12,260,150,410
2025-01,280,180,470
2025-02,230,170,400
2025-03,340,140,480
2025-04,1590,330,1920
2025-05,2130,360,2490
2025-06,1335,320,1655
2025-07,720,260,980
2025-08,430,210,640
2025-09,365,325,690
2025-10,290,265,555
2025-11,240,240,475
2025-12,250,200,455
2026-01,170,125,300
2026-02,190,200,390
2026-03,650,260,910
2026-04,1080,310,1390
2026-05,1195,255,1450
2026-06,1050,340,1390
2026-07,710,335,1040
grand total ,58340,24400,82760
